CLIENT_IP,CLIENT_COUNTRY_NAME,EVENT_ID,TIMESTAMP,EVENT_SEVERITY,TICKET_ID,CLIENT_BROWSER,CLIENT_COUNTRY_CODE
5.188.62.25,Russia,Client Didn't Render Page,2020-07-10T22:37:47Z,medium,2020-07-10T22:37:47-26D6A4006293DA1A,Chrome 41.0,RU
192.70.197.201,,Malformed Request Line,2020-07-10T23:39:22Z,low,2020-07-10-23-39-22-1F7E75EF4E2E25EB,,
192.70.197.201,,Malformed Request Line,2020-07-10T23:39:23Z,low,2020-07-10-23-39-23-11A999E32CE223D0,,
192.70.197.212,Russia,No Host Header,2020-07-11T01:01:59Z,low,2020-07-11-01-01-59-401974F326367CD9,,RU
192.70.197.212,,Malformed Request Line,2020-07-11T01:02:05Z,low,2020-07-11-01-02-05-0E112F8173F191F3,,
192.70.197.212,,Malformed Request Line,2020-07-11T01:02:05Z,low,2020-07-11-01-02-05-450EA25348FF2D98,,
192.70.197.212,,Malformed Request Line,2020-07-11T01:02:06Z,low,2020-07-11-01-02-06-526F5C217C724649,,
192.70.197.212,,Malformed Request Line,2020-07-11T01:02:07Z,low,2020-07-11-01-02-07-174F34F74934138B,,
192.70.197.201,,Malformed Request Line,2020-07-10T23:39:23Z,low,2020-07-10-23-39-23-7C50E88B68DDD4C5,,
104.244.73.126,Luxembourg,Path Traversal,2020-07-11T14:00:47Z,high,2020-07-11-14-00-47-237ECE8D0E1D282E,Chrome 75.0,LU
185.220.101.160,Germany,TOR IP Address Blocked,2020-07-11T14:00:57Z,low,2020-07-11-14-00-57-776ABD7C5DD6EB8C,Chrome 70.0,DE
39.98.139.34,China,No Host Header,2020-07-11T02:24:52Z,low,2020-07-11-02-24-52-5676BA44695F7381,,CN
37.44.41.26,Russia,Unknown Bot Visited Protected Page,2020-07-11T13:28:15Z,medium,2020-07-11-13-28-15-0F4EC44337C25D04,,RU
157.55.39.173,United States,Good Bot Visited Protected Page,2020-07-11T17:23:09Z,low,2020-07-11-17-23-09-4EA687B54E313D7F,bingbot 2.0,US
207.46.13.98,United States,Good Bot Visited Protected Page,2020-07-11T17:20:29Z,low,2020-07-11-17-20-29-50D1644E302B0EDE,bingbot 2.0,US
157.55.39.173,United States,Good Bot Visited Protected Page,2020-07-11T17:23:10Z,low,2020-07-11-17-23-10-5A5127CA12E0CE2E,bingbot 2.0,US
207.46.13.98,United States,Good Bot Visited Protected Page,2020-07-11T17:20:29Z,low,2020-07-11-17-20-29-467265967A4CC4C6,bingbot 2.0,US
66.249.79.252,United States,Client Didn't Render Page,2020-07-11T17:53:27Z,medium,2020-07-11T17:53:27-0FBAB45BB5B22380,Chrome Mobile 80.0,US
157.55.39.173,United States,Client Didn't Render Page,2020-07-11T15:24:07Z,medium,2020-07-11T15:24:07-EC9FD8B4D0ECC627,bingbot 2.0,US
192.70.197.201,Russia,No Host Header,2020-07-11T23:40:42Z,low,2020-07-11-23-40-42-3BDE23117A27462A,,RU
78.129.237.153,United Kingdom,Possible DDoS Attacker Detected,2020-07-11T23:24:27Z,medium,2020-07-11T23:24:27-7626C517280A8E81,Other 0.0,GB
192.70.197.201,,Malformed Request Line,2020-07-11T23:40:42Z,low,2020-07-11-23-40-42-2DD656F478059A18,,
192.70.197.201,,Malformed Request Line,2020-07-11T23:40:48Z,low,2020-07-11-23-40-48-08403CBB6A2FFF5B,,
192.70.197.201,,Malformed Request Line,2020-07-11T23:40:49Z,low,2020-07-11-23-40-49-69DACF5C42D37909,,
192.70.197.201,,Malformed Request Line,2020-07-11T23:40:49Z,low,2020-07-11-23-40-49-76C53DBF3EB6EB71,,
192.70.197.201,,Malformed Request Line,2020-07-11T23:40:49Z,low,2020-07-11-23-40-49-08F6FD3B616A22E1,,
66.249.69.220,United States,IP Address Changed,2020-07-12T04:32:36Z,low,2020-07-12-04-32-36-76D4548F140498B7,Chrome Mobile 83.0,US
192.70.197.217,Russia,No Host Header,2020-07-12T01:18:05Z,low,2020-07-12-01-18-05-08B4C15E75CC0A56,,RU
192.70.197.217,,Malformed Request Line,2020-07-12T01:18:10Z,low,2020-07-12-01-18-10-261D2AEE0A9893F6,,
192.70.197.217,,Malformed Request Line,2020-07-12T01:18:11Z,low,2020-07-12-01-18-11-29F4AD8C3078EA39,,
192.70.197.217,,Malformed Request Line,2020-07-12T01:18:11Z,low,2020-07-12-01-18-11-70BC657C42A81DE3,,
192.70.197.217,,Malformed Request Line,2020-07-12T01:18:12Z,low,2020-07-12-01-18-12-388EE3CC110B06CE,,
192.70.197.217,,Malformed Request Line,2020-07-12T01:18:12Z,low,2020-07-12-01-18-12-52D520B2700BFF01,,
192.70.197.217,,Malformed Request Line,2020-07-12T01:18:13Z,low,2020-07-12-01-18-13-7C89357F2DAD5063,,
192.70.197.217,,Malformed Request Line,2020-07-12T01:18:15Z,low,2020-07-12-01-18-15-74C852DD5EBB154B,,
192.70.197.217,,Malformed Request Line,2020-07-12T01:18:16Z,low,2020-07-12-01-18-16-3AC342DB7A45B764,,
